date,PET,rain,flow
2017-04-02,inf,0.2,22464000.0
2017-04-03,inf,10.2,22809600.0
2017-04-04,inf,2.2,22809600.0
2017-04-05,inf,0.4,22809600.0
2017-04-06,inf,0.0,23673600.0
2017-04-07,inf,0.0,22291200.0
2017-04-08,inf,0.0,19353600.0
2017-04-09,inf,0.0,17038080.0
2017-04-10,inf,0.0,15448320.000000002
2017-04-11,inf,0.0,14757120.000000002
2017-04-12,inf,0.0,14757120.000000002
2017-04-13,inf,0.0,14757120.000000002
2017-04-14,inf,1.4000000000000001,16277760.0
2017-04-15,inf,0.4,17349120.0
2017-04-16,inf,0.2,19699200.0
2017-04-17,inf,4.2,19526400.0
2017-04-18,inf,0.0,21081600.0
2017-04-19,inf,0.0,21772800.0
2017-04-20,inf,0.0,22118400.0
2017-04-21,inf,0.0,23155200.0
2017-04-22,inf,4.2,21427200.0
2017-04-23,inf,1.6,20563200.0
2017-04-24,inf,2.8,20044800.0
2017-04-25,inf,1.6,17660160.0
2017-04-26,inf,0.0,16882560.0
2017-04-27,inf,0.0,16571520.000000002
2017-04-28,inf,1.0,19180800.0
2017-04-29,inf,5.6000000000000005,24019200.0
2017-04-30,inf,6.800000000000001,27924480.0
2017-05-01,inf,1.2000000000000002,29635200.0
2017-05-02,inf,0.0,30395520.0
2017-05-03,inf,0.0,30775680.0
2017-05-04,inf,0.8,31536000.0
2017-05-05,inf,1.6,31726080.0
2017-05-06,inf,0.0,31155840.000000004
2017-05-07,inf,2.4000000000000004,31345920.0
2017-05-08,inf,1.8,30395520.0
2017-05-09,inf,4.2,29825280.0
2017-05-10,inf,0.0,31345920.0
2017-05-11,inf,0.0,30205440.000000004
2017-05-12,inf,0.0,29064959.999999996
2017-05-13,inf,1.4,30205440.000000004
2017-05-14,inf,3.0,30775680.0
2017-05-15,inf,1.2000000000000002,31155840.000000004
2017-05-16,inf,2.0,30585600.0
2017-05-17,inf,5.4,35389440.0
2017-05-18,inf,3.4000000000000004,44547840.0
2017-05-19,inf,38.4,73612800.0
2017-05-20,inf,0.0,109693439.99999999
2017-05-21,inf,0.0,119577600.0
2017-05-22,inf,2.0,116467200.0
2017-05-23,inf,0.0,109693439.99999999
2017-05-24,inf,21.4,101813760.00000001
2017-05-25,inf,0.0,95783039.99999999
2017-05-26,inf,0.0,87264000.0
2017-05-27,inf,6.800000000000001,82944000.0
2017-05-28,inf,1.6,81838080.0
2017-05-29,inf,25.8,81838080.0
2017-05-30,inf,6.0,81561600.0
2017-05-31,inf,36.0,82114560.0
2017-06-01,inf,0.0,79626240.0
2017-06-02,inf,25.4,79073280.0
2017-06-03,inf,0.0,83496960.0
2017-06-04,inf,0.4,83220480.0
2017-06-05,inf,0.0,81008640.0
2017-06-06,inf,26.0,79626240.0
2017-06-07,inf,0.0,78537600.0
2017-06-08,inf,31.4,79626240.0
2017-06-09,inf,23.200000000000003,80179200.0
2017-06-10,inf,5.6000000000000005,81838080.0
2017-06-11,inf,0.0,83496960.0
2017-06-12,inf,5.4,87557760.0
2017-06-13,inf,0.8,90789120.0
2017-06-14,inf,0.2,89320320.0
2017-06-15,inf,0.0,88439040.0
2017-06-16,inf,0.0,88439040.0
2017-06-17,inf,0.0,88732800.0
2017-06-18,inf,1.2,84913920.0
2017-06-19,inf,0.2,80179200.0
2017-06-20,inf,1.0,76464000.0
2017-06-21,inf,0.8,73612800.0
2017-06-22,inf,0.4,69206400.0
2017-06-23,inf,0.0,61620480.00000001
2017-06-24,inf,0.0,57801600.0
2017-06-25,inf,1.2,47018880.00000001
2017-06-26,inf,0.0,41178240.0
2017-06-27,inf,0.6000000000000001,37255680.0
2017-06-28,inf,6.6,37048320.0
2017-06-29,inf,6.2,37048320.0
2017-06-30,inf,5.6000000000000005,36426240.0
2017-07-01,inf,0.0,36426240.0
2017-07-02,inf,8.8,39156480.0
2017-07-03,inf,0.2,49040640.0
2017-07-04,inf,0.6000000000000001,58700160.0
2017-07-05,inf,7.6000000000000005,67392000.0
2017-07-06,inf,0.0,72835200.0
2017-07-07,inf,32.800000000000004,76982400.0
2017-07-08,inf,0.4,82391040.0
2017-07-09,inf,8.4,81838080.0
2017-07-10,inf,3.8,81008640.0
2017-07-11,inf,6.0,86088960.0
2017-07-12,inf,3.4,94314239.99999999
2017-07-13,inf,6.8,96076800.0
2017-07-14,inf,0.4,96698880.0
2017-07-15,inf,3.2,99515520.0
2017-07-16,inf,0.2,103127039.99999999
2017-07-17,inf,12.0,108708480.0
2017-07-18,inf,23.8,109693439.99999999
2017-07-19,inf,7.8,108708480.0
2017-07-20,inf,14.2,107395200.0
2017-07-21,inf,0.6000000000000001,107066880.0
2017-07-22,inf,4.8,109036800.0
2017-07-23,inf,14.8,116121600.0
2017-07-24,inf,0.6000000000000001,121305600.0
2017-07-25,inf,15.799999999999999,126489600.0
2017-07-26,inf,49.8,128217600.0
2017-07-27,inf,0.2,131414400.0
2017-07-28,inf,0.0,137998080.0
2017-07-29,inf,0.0,144754560.0
2017-07-30,inf,0.0,149126400.0
2017-07-31,inf,0.0,152703360.0
2017-08-01,inf,21.400000000000002,153515520.0
2017-08-02,inf,0.0,151511040.0
2017-08-03,inf,0.0,149523840.0
2017-08-04,inf,13.200000000000001,146344320.0
2017-08-05,inf,1.6,142767360.0
2017-08-06,inf,5.2,139587840.0
2017-08-07,inf,7.4,139190400.0
2017-08-08,inf,23.0,139587840.0
2017-08-09,inf,41.6,145152000.0
2017-08-10,inf,4.6000000000000005,148331520.0
2017-08-11,inf,0.0,146741760.0
2017-08-12,inf,3.6,142369920.0
2017-08-13,inf,0.2,138792960.0
2017-08-14,inf,1.6,136408320.0
2017-08-15,inf,1.2,134421120.0
2017-08-16,inf,7.4,132503039.99999999
2017-08-17,inf,3.2,131777280.0
2017-08-18,inf,6.2,132503039.99999999
2017-08-19,inf,1.6,136010880.0
2017-08-20,inf,9.0,145946880.0
2017-08-21,inf,2.6,153515520.0
2017-08-22,inf,5.4,156418560.0
2017-08-23,inf,0.2,158906880.0
2017-08-24,inf,0.2,159321600.0
2017-08-25,inf,31.200000000000003,159736320.0
2017-08-26,inf,7.4,160565760.0
2017-08-27,inf,2.2,163054080.0
2017-08-28,inf,0.2,163468800.0
2017-08-29,inf,37.8,161395200.0
2017-08-30,inf,0.6000000000000001,160980480.0
2017-08-31,inf,10.2,160565760.0
2017-09-01,inf,2.0,160151040.0
2017-09-02,inf,3.5999999999999996,161395200.0
2017-09-03,inf,0.2,164298240.0
2017-09-04,inf,0.0,163054080.0
2017-09-05,inf,4.4,162224640.0
2017-09-06,inf,57.599999999999994,159736320.0
2017-09-07,inf,9.200000000000001,156418560.0
2017-09-08,inf,2.6,155589120.0
2017-09-09,inf,0.8,157248000.0
2017-09-10,inf,0.2,157248000.0
2017-09-11,inf,0.0,156003840.0
2017-09-12,inf,6.2,157662720.0
2017-09-13,inf,0.2,160980480.0
2017-09-14,inf,0.0,159321600.0
2017-09-15,inf,0.0,154344960.0
2017-09-16,inf,15.4,148728960.0
2017-09-17,inf,20.0,147536640.0
2017-09-18,inf,0.8,149126400.0
2017-09-19,inf,0.0,151511040.0
2017-09-20,inf,0.0,152703360.0
2017-09-21,inf,0.0,151908480.0
2017-09-22,inf,0.0,151511040.0
2017-09-23,inf,0.0,153930240.0
2017-09-24,inf,0.0,160151040.0
2017-09-25,inf,0.0,161395200.0
2017-09-26,inf,1.2,156833280.0
2017-09-27,inf,0.4,154344960.0
2017-09-28,inf,0.0,152703360.0
2017-09-29,inf,5.4,153100800.0
2017-09-30,inf,0.0,155174400.0
2017-10-01,inf,0.0,159736320.0
2017-10-02,inf,0.0,161809920.0
2017-10-03,inf,20.4,163883520.0
2017-10-04,inf,6.4,170519040.0
2017-10-05,inf,8.4,180887040.0
2017-10-06,inf,1.5999999999999999,192499200.0
2017-10-07,inf,1.0,202608000.0
2017-10-08,inf,39.0,208656000.0
2017-10-09,inf,0.8,213840000.0
2017-10-10,inf,0.8,219024000.0
2017-10-11,inf,35.4,227232000.0
2017-10-12,inf,7.6,230385600.0
2017-10-13,inf,0.2,232286400.0
2017-10-14,inf,0.0,236563200.0
2017-10-15,inf,3.2,240840000.0
2017-10-16,inf,0.2,244166400.0
2017-10-17,inf,0.0,243216000.0
2017-10-18,inf,1.0,244166400.0
2017-10-19,inf,0.0,245592000.0
2017-10-20,inf,0.0,255096000.0
2017-10-21,inf,0.0,262699200.0
2017-10-22,inf,0.0,263174400.0
2017-10-23,inf,0.2,263174400.0
2017-10-24,inf,10.4,261273600.0
2017-10-25,inf,3.6,259372800.0
2017-10-26,inf,14.799999999999999,257472000.0
2017-10-27,inf,13.8,254145600.0
2017-10-28,inf,0.0,249393600.0
2017-10-29,inf,13.399999999999999,245592000.0
2017-10-30,inf,0.0,242265600.0
2017-10-31,inf,0.0,238464000.0
2017-11-01,inf,0.0,234187200.0
2017-11-02,inf,0.0,230385600.0
2017-11-03,inf,0.0,225936000.0
2017-11-04,inf,0.0,222048000.0
2017-11-05,inf,0.0,217296000.0
2017-11-06,inf,0.0,212976000.0
2017-11-07,inf,3.0,209088000.0
2017-11-08,inf,0.0,204768000.0
2017-11-09,inf,0.2,200880000.0
2017-11-10,inf,0.2,196231679.99999997
2017-11-11,inf,0.0,191255040.0
2017-11-12,inf,0.0,186693120.00000003
2017-11-13,inf,5.2,182545920.00000003
2017-11-14,inf,1.2,178398720.00000003
2017-11-15,inf,0.0,173836800.0
2017-11-16,inf,0.0,170519040.0
2017-11-17,inf,0.4,164298240.0
2017-11-18,inf,0.2,157248000.0
2017-11-19,inf,0.0,148728960.0
2017-11-20,inf,0.0,139985280.0
2017-11-21,inf,0.0,130688639.99999999
2017-11-22,inf,0.0,124761600.0
2017-11-23,inf,0.0,117849600.0
2017-11-24,inf,0.0,110021760.00000001
2017-11-25,inf,0.0,101485439.99999999
2017-11-26,inf,0.0,91670400.0
2017-11-27,inf,0.0,84620160.0
2017-11-28,inf,0.0,78019200.0
2017-11-29,inf,0.0,71020800.0
2017-11-30,inf,0.0,63659519.99999999
2017-12-01,inf,0.0,56453760.0
2017-12-02,inf,0.0,51960960.0
2017-12-03,inf,0.0,41402880.0
2017-12-04,inf,0.0,37877760.0
2017-12-05,inf,0.0,36218880.0
2017-12-06,inf,0.0,35596800.0
2017-12-07,inf,0.0,31726080.0
2017-12-08,inf,0.0,29825280.0
2017-12-09,inf,1.0,29825280.0
2017-12-10,inf,0.0,33730560.0
2017-12-11,inf,0.4,36011520.0
2017-12-12,inf,0.0,39156480.0
2017-12-13,inf,0.0,40504320.0
2017-12-14,inf,0.0,41402880.0
2017-12-15,inf,0.0,43424640.0
2017-12-16,inf,0.0,41852160.0
2017-12-17,inf,0.0,40953600.0
2017-12-18,inf,0.0,41852160.0
2017-12-19,inf,0.0,41627520.0
2017-12-20,inf,0.0,40279680.0
2017-12-21,inf,0.0,40504320.0
2017-12-22,inf,0.0,39830400.0
2017-12-23,inf,0.0,40728960.0
2017-12-24,inf,0.0,41627520.0
2017-12-25,inf,0.0,40504320.0
2017-12-26,inf,0.0,39381120.0
2017-12-27,inf,11.6,39381120.0
2017-12-28,inf,2.8,41852160.0
